Position,Team,per,ws,bpm,Year,CareerLen,Rank,Value,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,College,Target
PG,TOR,17.7,2.0,1.7,2012,3,23,382.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,Arizona,MEM
SG,NOP,11.9,2.9,-1.2,2012,4,31,285.0,3,0,0,4,1,0,0,3,2,2,1,0,6,3,1,0,0,3,0,0,2,1,0,0,0,0,2,0,0,2,0,CHI
C,CHO,10.6,0.6,-4.6,2012,0,31,277.0,0,2,0,2,0,0,4,1,0,0,1,1,3,3,1,1,2,2,1,0,0,2,0,2,1,1,1,0,0,1,0,CHO
PF,WAS,10.6,-0.1,-4.8,2012,6,28,328.0,0,0,1,1,0,0,0,1,2,0,1,0,1,0,2,0,2,1,0,1,0,0,0,1,1,0,0,0,0,1,0,BRK
C,MIL,14.9,0.5,0.5,2012,6,18,268.0,1,0,3,1,0,0,0,1,0,0,0,2,3,1,1,0,0,0,1,1,0,0,0,1,0,2,0,0,0,1,Utah,GSW
SG,CHI,12.3,3.9,0.7,2012,5,0,600.0,8,0,1,0,0,0,3,1,3,3,1,1,0,5,1,1,0,10,4,1,0,1,3,2,2,0,0,0,0,2,Arkansas,OKC
SF,HOU,14.9,3.0,1.2,2012,2,16,453.0,0,0,0,0,2,0,0,0,1,1,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,4,0,0,1,Arizona,MIN
C,POR,14.5,1.9,1.5,2012,15,19,370.0,8,1,3,3,1,0,6,4,6,2,1,0,3,0,1,1,0,3,1,0,0,0,2,0,1,0,1,0,0,3,UMass,NYK
C,HOU,19.6,1.7,3.5,2012,15,16,453.0,8,1,3,3,1,0,0,4,6,2,1,0,3,0,1,1,0,3,1,0,0,0,2,0,1,0,1,0,0,3,UMass,NYK
PF,DEN,25.2,0.1,9.3,2012,2,10,316.0,2,0,0,2,1,0,2,0,3,1,1,2,1,2,2,2,1,3,7,2,0,0,0,5,0,1,0,0,0,5,"Vanderbilt, Missouri",UTA
SF,PHO,11.1,0.9,-0.2,2012,5,17,395.0,4,0,1,2,1,0,0,1,4,4,1,4,0,0,2,5,0,3,0,1,3,2,2,4,2,1,0,0,0,2,Stanford,BRK
PG,IND,13.6,3.8,-0.2,2012,2,4,283.0,1,0,2,1,1,0,0,4,5,1,0,1,0,1,3,1,2,4,1,0,0,1,1,0,1,2,2,0,0,1,UCLA,DAL
SG,OKC,9.2,1.6,-1.3,2012,4,2,348.0,0,0,4,2,0,0,2,1,0,4,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,Ohio State,CHI
PG,POR,15.7,2.3,-0.2,2012,11,19,370.0,4,3,4,6,5,0,3,5,12,6,1,3,6,0,6,4,2,10,2,6,6,7,2,5,3,5,4,0,0,6,Michigan,LAC
SG,WAS,14.5,1.1,-1.7,2012,1,28,328.0,1,1,4,0,0,0,0,0,1,0,2,1,0,1,2,0,0,2,1,1,2,1,0,3,1,0,1,0,0,2,"Indiana, Xavier",BOS
PF,MEM,14.9,3.4,0.8,2012,2,6,269.0,0,0,0,0,1,0,3,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,Villanova,MIN
C,MIA,3.6,-0.1,-11.8,2012,9,3,457.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,DAL
SG,BOS,8.1,0.1,-3.1,2012,8,9,482.0,2,0,3,2,0,0,0,3,3,2,1,1,4,2,3,2,0,2,1,3,2,5,2,1,2,0,0,0,0,4,Auburn,MIL
PF,TOR,14.2,3.9,-0.3,2012,1,23,382.0,2,1,0,1,0,0,2,2,2,0,0,1,0,2,1,3,1,2,0,2,2,3,1,1,2,2,0,0,0,4,UNC,MEM
SF,DET,7.1,-0.6,-5.0,2012,2,21,322.0,4,0,4,2,3,0,1,1,4,3,4,2,1,1,1,0,2,4,0,3,2,1,0,0,1,0,0,0,0,3,Gonzaga,MEM
SF,MIL,11.7,2.4,-0.1,2012,6,18,268.0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,HOU
PF,CHO,10.8,-0.5,-2.8,2012,8,31,277.0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SAS
C,CHO,6.8,-0.2,-5.8,2012,10,31,277.0,2,0,1,4,1,0,1,3,0,1,0,0,2,2,0,1,1,3,0,0,1,2,1,1,1,0,1,0,0,1,0,CHO
PF,LAC,9.2,1.3,-3.7,2012,9,8,324.0,1,0,0,1,2,0,1,1,0,1,4,4,1,1,3,3,1,1,0,2,1,0,1,2,1,0,1,0,0,3,Iowa,BRK
PG,POR,13.4,1.7,-1.5,2012,6,19,370.0,8,0,3,3,1,0,3,4,5,1,1,0,1,0,1,2,1,4,1,2,3,2,3,1,1,0,0,0,0,1,UNC,NYK
SG,NYK,12.0,3.4,0.0,2012,1,13,780.0,0,0,2,0,1,0,2,0,0,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,1,Stanford,TOR
PG,LAL,8.8,1.1,-2.6,2012,15,5,900.0,9,0,3,3,4,0,2,5,8,4,3,3,2,4,4,2,4,9,1,4,5,4,5,2,3,2,5,0,0,2,Little Rock,OKC
SG,LAC,13.5,3.2,0.2,2012,5,8,324.0,5,0,1,1,0,0,1,2,0,2,1,0,1,0,1,2,1,2,6,1,4,0,1,0,0,0,1,0,0,1,Villanova,UTA
SF,MEM,17.8,6.0,1.9,2012,5,6,269.0,7,0,3,4,2,0,3,4,5,3,3,4,3,3,2,3,3,4,1,2,1,1,4,0,1,1,2,0,0,0,UConn,TOR
PG,NOP,19.2,0.7,1.8,2012,3,31,285.0,6,2,6,1,7,0,3,6,10,6,3,5,1,3,4,4,3,8,2,8,5,4,4,3,4,3,4,0,0,6,Indiana,NOP
C,MEM,16.3,0.6,-1.4,2012,3,6,269.0,0,1,1,0,1,0,2,1,0,0,0,1,1,2,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PHO
SG,OKC,21.1,9.3,4.3,2012,2,2,348.0,4,0,3,0,0,0,3,0,3,2,2,1,1,1,3,1,0,0,0,1,2,1,0,0,0,1,1,0,0,1,Arizona State,HOU
PF,NYK,13.7,1.4,0.1,2012,0,13,780.0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,Kentucky,MIA
PF,DEN,15.3,3.2,-0.4,2012,13,10,316.0,3,0,1,1,2,0,2,0,2,3,1,0,3,2,1,2,2,1,0,1,0,3,1,1,1,0,1,0,0,3,0,ORL
PG,UTA,16.0,4.2,0.8,2012,7,14,322.0,0,0,0,0,1,0,0,3,0,1,0,0,1,1,0,1,0,0,0,1,0,2,1,2,0,0,1,0,0,0,Wisconsin,ATL
SF,MIL,14.2,0.9,-1.9,2012,0,18,268.0,0,0,0,1,2,0,1,1,1,1,0,2,2,1,2,1,1,4,0,1,2,0,3,1,3,1,1,0,0,2,Tennessee,ORL
SG,CHO,14.0,1.0,-2.7,2012,10,31,277.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Duke,CHO
SG,NOP,9.2,0.2,-4.0,2012,1,31,285.0,1,2,0,0,0,0,1,0,1,0,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,Kansas,NOP
PG,CHO,4.1,-1.3,-10.4,2012,0,31,277.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,Colorado,CHO
C,CLE,7.0,0.1,-7.1,2012,5,26,329.0,6,2,5,2,6,0,2,5,12,3,1,5,6,2,4,4,4,7,2,5,2,5,2,1,0,1,4,0,0,4,UCLA,LAC
C,BOS,6.8,0.1,-6.3,2012,5,9,482.0,6,2,5,2,0,0,2,5,12,3,1,5,6,2,4,4,4,7,2,5,2,5,2,1,0,1,4,0,0,4,UCLA,LAC
C,ORL,24.2,7.7,4.3,2012,7,11,395.0,7,2,2,3,2,0,2,2,3,3,2,3,2,2,2,1,0,2,0,1,2,0,0,1,2,1,1,0,0,2,0,LAL
SF,PHI,17.6,7.3,4.0,2012,7,15,314.0,2,0,3,1,1,0,0,1,3,0,1,0,0,0,2,1,1,4,0,3,7,3,1,1,0,1,2,0,0,2,Arizona,DEN
SG,OKC,4.7,0.2,-3.7,2012,7,2,348.0,1,0,2,1,1,0,0,1,3,0,0,4,2,2,0,1,1,0,1,0,2,2,0,2,2,1,1,0,0,1,Texas,PHI
PG,NOP,17.9,3.8,1.6,2012,6,31,285.0,6,0,4,2,1,0,0,0,2,3,2,2,0,3,1,1,2,3,2,0,1,0,1,1,3,1,0,0,0,3,Georgia Tech,GSW
SF,MIL,8.9,-0.3,-3.9,2012,11,18,268.0,4,0,0,0,3,0,1,1,6,0,0,1,5,2,1,1,0,2,0,0,2,0,2,0,0,1,0,0,0,2,Butler County Community College,SAS
PG,CHI,13.7,0.3,-0.4,2012,9,0,600.0,6,0,0,0,1,0,1,5,6,3,1,2,1,2,3,3,0,2,1,4,1,1,3,0,3,1,0,0,0,1,Lamar University,DAL
SF,TOR,14.5,2.6,1.5,2012,2,23,382.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wake Forest,SAC
SG,ATL,18.4,6.4,2.1,2012,10,7,270.0,0,0,0,3,0,0,0,0,1,2,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,Arkansas,BRK
SF,IND,10.3,2.0,-1.9,2012,8,4,283.0,4,0,2,1,0,0,2,4,4,2,3,1,2,1,0,1,1,2,1,0,1,1,0,1,2,0,1,0,0,2,"Rutgers University, Duke",ATL
C,NOP,15.3,0.7,-1.3,2012,8,31,285.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Central Michigan University,DAL
SG,CHI,13.6,5.3,2.2,2012,8,0,600.0,5,0,1,0,1,0,0,0,2,2,0,3,1,1,2,1,0,3,3,1,0,1,2,4,2,0,3,0,0,0,Creighton,ATL
PF,MIL,15.3,1.4,-0.3,2012,0,18,268.0,1,0,0,1,1,0,1,2,0,2,1,0,1,0,1,0,0,3,1,0,1,0,1,0,2,2,0,0,0,4,Wisconsin,MEM
SF,ORL,8.9,0.0,-4.5,2012,0,11,395.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kentucky,OKC
PG,NYK,19.9,2.7,3.8,2012,1,13,780.0,0,0,3,1,0,0,3,0,2,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,Harvard University,HOU
SG,MIL,11.0,1.3,-1.3,2012,6,18,268.0,0,0,3,1,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,1,1,0,2,1,1,1,0,0,0,1,0,CLE
C,PHO,15.2,2.1,-2.2,2012,3,17,395.0,4,2,1,0,0,0,0,0,3,2,0,1,1,3,1,0,0,0,1,3,0,0,0,1,0,0,2,0,0,2,Stanford,NOP
PG,HOU,18.8,4.9,4.1,2012,5,16,453.0,5,0,1,1,0,0,0,1,6,4,5,3,3,2,2,2,4,4,1,1,2,0,2,1,2,1,1,0,0,3,Villanova,TOR
PG,CHI,16.3,2.2,2.9,2012,3,0,600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Baylor, Oklahoma State",TOR
PG,WAS,11.9,0.7,-2.6,2012,0,28,328.0,3,1,2,1,4,0,2,1,3,3,0,5,3,2,2,0,1,4,6,1,3,0,1,3,2,2,1,0,0,2,Butler,ATL
SF,CHO,14.1,0.7,-3.9,2012,12,31,277.0,4,2,5,6,4,0,5,7,13,3,4,4,6,4,6,4,6,7,6,3,7,5,2,4,4,3,3,0,0,3,Duke,DET
C,DAL,13.5,3.4,-2.3,2012,3,12,497.0,1,0,0,1,0,0,0,0,1,0,1,1,3,1,0,2,1,2,1,5,1,0,0,0,0,0,1,0,0,0,0,IND
PF,LAC,9.9,0.9,-2.1,2012,11,8,324.0,6,0,1,0,0,0,1,0,0,0,0,0,2,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,1,Cincinnati,NYK
SG,WAS,12.1,0.9,-1.0,2012,7,28,328.0,7,1,2,7,4,0,1,5,11,7,5,4,4,5,3,0,4,9,3,3,6,6,4,4,4,1,5,0,0,5,Virginia,NOP
PG,OKC,9.1,0.1,-2.7,2012,2,2,348.0,2,1,3,1,0,0,1,2,3,3,3,3,3,5,3,3,1,0,1,0,3,0,1,0,0,0,0,0,0,1,Virginia Commonwealth,POR
C,WAS,19.6,2.8,0.1,2012,3,28,328.0,2,0,5,2,0,0,1,1,4,2,2,2,0,2,2,0,1,3,0,2,8,2,1,1,3,1,1,0,0,3,Nevada,DEN
PF,LAL,10.9,1.4,-1.4,2012,4,5,900.0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0,1,2,1,0,2,0,0,0,1,0,0,0,0,Duke,CHO
SG,PHI,11.5,4.1,-0.7,2012,2,15,314.0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,2,0,1,0,0,1,0,1,0,0,1,0,0,0,1,Kentucky,LAL
SG,UTA,12.4,1.5,-1.8,2012,6,14,322.0,0,0,0,2,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,2,1,0,0,0,4,0,0,0,0,0,0,CLE
C,OKC,11.0,1.3,-2.4,2012,13,2,348.0,1,1,1,7,3,0,1,1,4,0,1,3,3,1,3,3,1,0,0,0,0,2,3,2,0,0,0,0,0,1,Kentucky,CHI
PG,BOS,8.8,0.2,-2.4,2012,0,9,482.0,2,2,0,3,0,0,1,1,0,0,0,1,0,2,1,2,1,2,0,0,1,0,2,0,2,0,1,0,0,2,Purdue,ORL
PF,HOU,3.8,-0.2,-9.3,2012,0,16,453.0,5,0,1,1,4,0,0,3,4,3,1,0,1,3,6,2,6,6,1,1,1,1,2,1,1,1,1,0,0,1,Kansas,PHO
SG,BRK,13.1,1.7,-1.9,2012,3,31,357.0,4,0,2,3,2,0,1,3,1,2,2,2,1,1,6,3,2,8,1,2,2,0,1,4,0,1,2,0,0,3,Georgia Tech,DAL
C,BOS,9.4,1.1,-2.5,2012,15,9,482.0,1,0,3,0,0,0,0,1,0,2,0,1,2,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,2,0,PHO
SF,DAL,9.2,0.3,-3.1,2012,12,12,497.0,2,1,0,0,0,0,0,0,4,2,1,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,Rhode Island,LAC
C,NOP,15.1,1.7,-0.5,2012,7,31,285.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UConn,WAS
PF,ORL,12.7,0.5,-3.0,2012,0,11,395.0,2,0,1,0,0,0,2,1,2,0,2,2,0,1,2,1,0,4,0,0,0,1,0,0,1,1,0,0,0,1,Kentucky,OKC
PG,ATL,13.6,1.3,-0.6,2012,7,7,270.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arkansas,CHO
PF,HOU,11.5,1.6,-2.9,2012,1,16,453.0,5,1,1,0,2,0,0,1,3,3,3,1,1,1,7,2,0,4,1,1,0,2,2,0,1,2,1,0,0,0,Kentucky,SAC
PG,IND,11.5,0.7,-1.0,2012,2,4,283.0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,UConn,WAS
PF,MIN,17.6,1.1,-0.8,2012,3,20,268.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,LSU,DEN
SG,ORL,13.3,2.8,0.7,2012,10,11,395.0,1,0,2,0,0,0,0,3,1,0,1,3,1,1,0,0,2,2,0,1,1,1,0,0,0,0,0,0,0,2,Michigan State,PHI
SF,ORL,8.7,1.3,-1.6,2012,11,11,395.0,7,0,4,5,2,0,2,5,9,5,2,4,1,2,2,1,0,7,0,2,3,3,0,3,1,2,1,0,0,2,DePaul,NYK
PG,GSW,18.0,2.8,0.4,2012,6,22,450.0,2,0,0,5,3,0,1,1,3,4,2,3,1,1,2,2,2,10,0,1,5,2,3,0,2,2,1,0,0,4,Washington,CHI
PF,HOU,15.4,3.4,-1.9,2012,4,16,453.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHO
PG,CLE,16.4,1.8,-0.6,2012,4,26,329.0,1,3,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,Nevada,CHO
PG,LAL,17.3,1.9,-0.1,2012,4,5,900.0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,Nevada,CHO
PG,ATL,11.6,0.0,-3.6,2012,0,7,270.0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,3,0,0,0,0,4,0,0,0,0,0,Texas A&M,NOP
PG,NOP,8.0,-0.1,-4.7,2012,0,31,285.0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,3,0,0,0,0,4,0,0,0,0,0,Texas A&M,NOP
PG,CLE,8.9,-0.3,-5.4,2012,0,26,329.0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,Texas A&M,NOP
PF,NOP,16.6,2.2,-0.4,2012,3,31,285.0,5,0,1,0,1,0,0,1,4,0,0,1,0,0,1,2,3,1,0,1,0,2,0,0,0,0,0,0,0,1,Colorado State,NOP
PF,MEM,14.1,2.7,-3.0,2012,3,6,269.0,2,1,4,3,3,0,1,2,2,2,0,8,1,2,4,3,1,4,0,1,4,4,1,2,4,1,0,0,0,0,Florida,CLE
SF,ATL,11.5,0.3,-1.3,2012,16,7,270.0,6,1,3,6,4,0,3,5,6,5,2,4,3,4,4,4,1,5,4,6,5,3,3,0,1,2,2,0,0,3,UNC,BRK
C,BOS,13.6,2.7,1.4,2012,0,9,482.0,2,0,0,0,0,0,3,0,1,1,2,2,0,0,0,0,0,2,1,1,0,1,0,0,0,0,3,0,0,1,Wisconsin,MIN
PG,PHO,13.2,1.1,-1.3,2012,7,17,395.0,2,1,2,2,3,0,2,3,4,3,2,2,2,1,6,1,0,4,6,5,6,0,4,0,5,2,2,0,0,4,0,TOR
SG,DAL,15.7,3.8,1.4,2012,12,12,497.0,3,0,2,2,5,0,0,0,4,2,0,3,0,1,3,3,0,4,1,1,2,1,3,2,0,1,3,0,0,3,Arizona,BOS
C,HOU,16.4,0.1,2.8,2012,2,16,453.0,1,0,0,2,0,0,0,0,1,1,0,0,0,2,1,0,0,8,0,0,0,1,0,0,0,0,0,0,0,2,UConn,OKC
C,POR,11.6,0.2,-5.2,2012,2,19,370.0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,8,0,0,0,1,0,0,0,0,0,0,0,2,UConn,OKC
PF,NOP,10.1,1.2,-4.3,2012,0,31,285.0,5,1,1,2,0,0,0,1,2,4,0,1,2,3,2,1,0,3,0,0,2,1,1,0,2,0,2,0,0,1,Duke,NOP
SF,MIN,8.3,0.9,-2.6,2012,3,20,268.0,3,1,1,5,1,0,3,1,4,2,0,3,2,2,2,3,3,4,2,2,2,1,2,3,2,2,0,0,0,2,Creighton,ATL
C,GSW,10.4,-0.2,-7.8,2012,0,22,450.0,3,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,3,1,0,1,2,0,0,0,0,0,ATL
C,GSW,11.5,0.9,-2.0,2012,1,22,450.0,1,0,0,1,1,0,0,0,4,0,0,3,0,1,1,1,0,2,2,1,2,4,1,1,1,2,1,0,0,1,"Michigan, Baylor",MIL
SG,MIL,13.1,1.4,-2.1,2012,7,18,268.0,8,1,4,4,2,0,1,3,2,5,1,1,5,2,6,1,1,6,1,2,3,0,1,2,2,0,1,0,0,4,0,ORL
PG,CHO,14.9,0.3,-0.8,2012,0,31,277.0,3,1,1,1,1,0,2,1,3,1,0,1,0,3,4,2,1,2,1,1,0,1,0,0,2,3,2,0,0,1,UConn,CHO
PF,PHO,13.1,0.5,-2.7,2012,6,17,395.0,1,0,0,0,0,0,2,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Syracuse,CHO
SF,MIN,10.0,1.5,-1.6,2012,6,20,268.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,WAS
PF,CHO,12.4,0.8,-3.8,2012,3,31,277.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,8,1,1,0,1,1,0,1,1,0,0,0,0,Indiana,BOS
SF,DET,6.9,0.4,-4.0,2012,7,21,322.0,0,0,0,0,0,0,0,1,0,1,0,2,2,1,0,1,0,2,1,0,1,1,0,2,0,0,0,0,0,1,"NC State, Georgia",PHI
PG,PHI,20.2,6.1,4.0,2012,6,15,314.0,1,0,1,0,1,0,1,0,4,1,2,0,0,2,2,2,0,4,0,0,0,0,2,2,0,3,0,0,0,1,0,ATL
SG,LAC,15.0,2.8,0.2,2012,8,8,324.0,8,0,5,3,5,0,2,4,0,6,1,3,3,5,2,2,4,5,8,6,3,1,5,1,7,0,2,0,0,3,Alabama,UTA
SG,HOU,6.2,-0.1,-5.1,2012,2,16,453.0,2,0,1,0,1,0,0,1,1,0,2,1,0,1,2,1,0,2,1,1,0,1,1,0,0,0,0,0,0,0,Louisville,BOS
SG,SAC,16.5,0.4,0.4,2012,2,25,300.0,2,0,1,0,1,0,0,1,1,0,2,1,0,1,0,1,0,2,1,1,0,1,1,0,0,0,0,0,0,0,Louisville,BOS
SF,GSW,18.6,0.6,0.0,2012,0,22,450.0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,Georgetown,DAL
SF,GSW,15.0,3.4,0.9,2012,7,22,450.0,4,0,0,1,4,0,1,3,6,5,3,4,1,4,3,2,3,7,1,0,3,2,3,0,0,2,1,0,0,3,0,PHI
SG,WAS,14.2,1.5,-1.7,2012,4,28,328.0,3,3,3,1,2,0,0,0,4,1,2,5,0,1,2,0,0,1,0,2,3,1,0,1,0,0,0,0,0,0,USC,PHI
SG,LAC,9.9,0.4,-4.1,2012,4,8,324.0,3,3,3,1,2,0,0,0,0,1,2,5,0,1,2,0,0,1,0,2,3,1,0,1,0,0,0,0,0,0,USC,PHI
SF,MEM,10.6,0.2,-1.8,2012,2,6,269.0,2,0,2,2,0,0,1,1,2,1,0,5,1,1,1,1,1,4,1,6,2,0,1,0,1,1,2,0,0,0,Pitt,IND
SF,PHI,8.2,0.0,-3.2,2012,2,15,314.0,2,0,2,2,0,0,1,1,2,1,0,0,1,1,1,1,1,4,1,6,2,0,1,0,1,1,2,0,0,0,Pitt,IND
PF,GSW,11.3,0.2,-5.3,2011,0,19,450.0,0,0,0,1,2,0,5,1,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,1,0,0,1,UConn,HOU
SF,LAC,9.6,0.7,-2.8,2011,0,22,324.0,1,4,2,2,1,0,0,3,0,1,3,2,0,1,1,2,2,0,1,1,1,1,1,1,2,0,2,0,0,3,Wake Forest,NOP
PF,GSW,11.5,0.6,-4.5,2011,4,19,450.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,6,0,1,0,0,0,0,2,0,0,0,UNLV,IND
SF,DEN,21.2,4.7,1.4,2011,7,8,316.0,2,1,1,1,0,0,0,0,2,2,0,0,0,0,0,1,1,3,0,1,0,0,2,0,1,0,1,0,0,1,Syracuse,NYK
SF,NOP,11.3,3.4,-0.4,2011,6,31,280.0,0,1,1,1,0,0,1,1,4,1,1,0,0,0,2,2,3,5,1,0,3,2,3,1,3,1,3,0,0,3,UCLA,NOP
SF,DEN,12.8,0.2,-1.5,2011,4,8,316.0,1,0,1,0,2,0,0,2,1,3,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,South Carolina,NYK
SG,TOR,15.3,1.5,-1.3,2011,7,27,382.0,5,4,6,5,6,0,4,6,8,6,0,2,5,5,4,5,8,8,3,7,5,3,4,5,1,3,3,0,0,6,0,IND
PG,DAL,14.8,3.2,-0.5,2011,4,3,497.0,2,1,0,0,0,0,1,0,2,1,0,0,0,1,0,1,0,2,1,0,0,0,0,1,0,0,2,0,0,0,Northeastern University,MIN
C,PHO,1.5,-0.4,-11.5,2011,4,16,395.0,0,0,2,1,0,0,0,0,1,1,0,0,0,1,0,1,0,2,0,0,1,0,3,1,1,0,0,0,0,0,Memphis,GSW
C,MIL,17.3,0.2,0.0,2011,4,20,268.0,0,0,2,1,0,0,0,0,1,1,0,0,0,1,0,1,0,2,0,0,1,0,3,1,1,0,0,0,0,0,Memphis,GSW
C,POR,3.8,-0.1,-10.4,2011,4,9,370.0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,1,0,3,1,1,0,0,0,0,0,Memphis,GSW
SF,HOU,12.9,4.0,1.9,2011,9,13,453.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Duke,MIA
SF,MEM,10.6,1.1,-0.1,2011,9,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Duke,MIA
PG,NOP,7.2,-0.2,-7.3,2011,2,31,280.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,1,0,0,0,0,Arizona,TOR
SG,NOP,12.1,3.4,-0.6,2011,3,31,280.0,2,2,0,3,1,0,0,1,3,2,1,0,2,3,1,0,1,2,0,0,2,2,0,1,1,0,1,0,0,2,0,NOP
PG,DEN,18.6,5.8,2.9,2011,13,8,316.0,3,1,1,5,2,0,2,5,3,2,2,1,0,0,0,0,2,7,2,1,0,1,4,2,2,2,1,0,0,2,Colorado,LAC
PG,NYK,19.1,2.1,1.6,2011,13,14,780.0,0,1,1,5,2,0,2,5,3,2,2,1,0,0,0,0,2,7,2,1,0,1,4,2,2,2,1,0,0,2,Colorado,LAC
SF,MIN,10.3,0.6,-2.8,2011,3,29,272.0,1,0,0,2,0,0,0,4,1,1,0,2,0,0,0,2,0,1,0,0,3,0,0,2,0,0,0,0,0,0,Florida,DEN
SG,DAL,17.6,0.5,1.8,2011,3,3,497.0,1,0,0,2,0,0,0,0,1,1,0,2,0,0,0,2,0,1,0,0,3,0,0,2,0,0,0,0,0,0,Florida,DEN
SF,DAL,14.2,1.2,-0.9,2011,8,3,497.0,4,4,5,5,4,0,1,0,7,5,2,2,2,1,2,4,2,8,0,4,3,2,3,1,2,2,2,0,0,3,UConn,LAC
SG,LAC,5.9,-0.2,-4.0,2011,8,22,324.0,3,2,2,4,4,0,2,3,0,2,3,2,1,0,0,2,3,3,1,6,2,1,4,2,2,1,2,0,0,1,La Salle,TOR
