Position,Team,per,ws,bpm,Year,CareerLen,Rank,Value,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,College,Target
PG,MEM,12.7,1.7,-1.5,2018,1,28,1025.0,0,1,0,1,1,1,2,2,2,0,0,2,1,0,4,2,3,1,0,0,2,2,3,0,3,2,3,3,2,0,Kentucky,NOP
PG,SAC,14.0,2.1,-0.5,2018,9,24,1375.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,3,0,0,0,0,1,1,2,0,1,1,IUPUI,MIL
PG,CLE,12.2,1.1,-1.2,2018,9,5,1325.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,3,0,0,0,0,0,1,2,0,1,1,IUPUI,MIL
SG,CHI,10.8,1.7,-1.9,2018,4,23,2600.0,2,3,6,0,0,0,1,1,0,0,0,2,0,2,0,1,0,2,0,0,1,0,2,0,1,1,1,0,1,0,Washington,MEM
C,PHI,17.4,2.8,1.1,2018,2,4,1180.0,0,0,3,0,0,2,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,Bowling Green,PHO
SG,UTA,15.1,1.9,0.5,2018,3,10,1200.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,"Mississippi State, Duke",POR
SG,CLE,12.7,0.8,-1.5,2018,3,5,1325.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Mississippi State, Duke",POR
SG,PHO,12.4,0.6,-1.6,2018,1,29,1280.0,2,0,10,1,1,0,4,2,1,0,0,0,1,0,2,3,0,1,2,1,0,1,1,0,0,1,0,0,1,2,Texas A&M,HOU
C,CHO,20.5,6.8,-0.1,2018,13,19,1050.0,1,2,3,0,2,1,2,0,5,1,1,0,3,1,1,2,3,3,0,0,0,0,1,0,4,3,3,0,0,2,0,WAS
PG,HOU,0.2,-0.2,-8.5,2018,1,0,2200.0,0,2,2,1,4,0,0,0,0,2,0,3,1,3,1,0,0,1,2,0,3,0,0,1,2,0,2,1,1,1,Notre Dame,PHI
PF,CLE,28.6,14.0,8.7,2018,14,5,1325.0,0,3,2,0,1,0,2,0,0,2,0,1,0,1,0,1,1,3,0,0,0,2,0,0,0,1,1,1,1,1,0,LAL
PF,UTA,13.2,3.4,0.1,2018,7,10,1200.0,1,4,11,0,4,1,2,1,2,2,2,3,2,2,2,1,1,3,0,2,0,3,0,2,3,2,0,1,0,2,0,GSW
SF,DET,9.0,1.8,-2.9,2018,2,18,1100.0,3,3,6,5,5,3,2,2,3,2,2,3,2,1,2,5,4,4,0,4,3,3,3,2,1,0,6,2,2,4,Arizona,NOP
PG,MIA,13.0,4.2,-0.3,2018,3,14,1700.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,2,Fresno State,PHO
C,LAC,20.2,9.4,1.4,2018,9,17,2150.0,0,1,1,0,1,0,4,2,0,1,1,0,1,1,0,1,1,3,0,1,2,3,1,0,5,2,3,1,3,3,Texas A&M,NYK
