player,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,year,career_len,rank,value,affinity,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,college,twitter_id,left,target
Ron Baker,SG,25,NYK,11,107,4.4,0.376,0.563,0.375,1.0,6.0,3.4,16.1,2.3,0.0,13.9,8.6,0.0,0.0,0.0,0.002,-7.7,1.1,-6.6,-0.1,2019,2,29,4000.0,True,0,3,2,1,2,2,4,2,1,2,1,3,0,3,4,5,2,2,5,3,2,0,1,1,2,3,3,0,2,2,Wichita State,179119388,,
Ron Baker,SG,25,WAS,4,45,-2.0,0.0,1.0,0.0,0.0,9.8,4.8,5.1,1.1,1.9,33.3,5.7,-0.1,0.0,-0.1,-0.12,-7.9,0.0,-7.9,-0.1,2019,2,24,1550.0,True,0,3,2,1,2,2,4,2,1,2,1,3,0,3,4,0,2,2,5,3,2,0,1,1,2,3,3,0,2,2,Wichita State,179119388,,
Wade Baldwin,PG,22,POR,16,94,1.3,0.396,0.273,0.333,2.3,14.4,8.5,16.6,0.5,1.7,27.0,23.3,-0.4,0.1,-0.3,-0.153,-8.4,-1.9,-10.3,-0.2,2019,2,5,1575.0,True,1,0,2,0,1,3,1,0,1,0,2,2,0,0,0,1,1,1,1,1,1,0,1,3,1,0,1,0,0,2,Vanderbilt,290403864,,
Lonzo Ball,PG,21,LAL,47,1423,11.7,0.487,0.5,0.105,4.0,14.0,9.1,23.8,2.3,1.1,17.8,16.9,-0.2,1.7,1.6,0.052000000000000005,-1.6,1.3,-0.3,0.6,2019,1,19,3700.0,True,0,0,2,0,0,0,0,0,1,1,0,2,1,0,2,1,1,0,2,3,1,0,0,1,2,0,0,2,0,1,UCLA,909102066,,
Mo Bamba,C,20,ORL,47,766,14.9,0.539,0.28800000000000003,0.259,8.8,24.0,16.3,7.4,0.8,7.0,13.7,17.8,0.3,1.4,1.7,0.106,-2.8,1.4,-1.4,0.1,2019,0,14,1300.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Texas,0,,
J.J. Barea,PG,34,DAL,38,752,16.3,0.495,0.332,0.203,1.9,11.6,6.8,47.5,1.4,0.1,14.7,28.1,0.4,0.6,1.0,0.064,1.2,-1.8,-0.6,0.3,2019,12,21,2250.0,True,0,2,1,0,0,0,2,0,0,0,0,0,1,1,1,2,0,0,1,1,0,0,0,0,2,2,0,0,0,1,Northeastern University,73457606,,
Harrison Barnes,PF,26,DAL,49,1584,13.1,0.5379999999999999,0.434,0.276,2.4,11.5,7.0,6.3,1.0,0.6,7.8,23.7,0.8,1.1,1.9,0.059,0.0,-1.2,-1.2,0.3,2019,6,21,2250.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNC,0,,
Harrison Barnes,SF,26,SAC,28,949,12.3,0.578,0.419,0.258,2.2,14.8,8.4,7.5,0.8,0.2,8.0,16.3,1.1,0.5,1.7,0.084,-0.5,-1.2,-1.7,0.1,2019,6,18,1575.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNC,0,,
Will Barton,SF,28,DEN,43,1189,11.0,0.501,0.426,0.161,2.9,15.3,9.1,14.6,0.7,1.6,11.7,20.0,0.1,1.1,1.2,0.049,-1.1,-0.8,-1.8,0.0,2019,6,3,1375.0,True,2,1,2,2,1,0,3,0,4,1,0,0,2,2,0,3,1,0,1,2,0,3,0,1,1,1,0,2,3,1,Memphis,529603839,,
Keita Bates-Diop,SF,23,MIN,30,503,9.6,0.489,0.366,0.197,3.4,14.4,8.8,4.6,1.7,2.4,8.3,14.1,0.0,0.4,0.3,0.032,-2.8,-0.6,-3.4,-0.2,2019,0,20,1250.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ohio State,0,,
Nicolas Batum,SF,30,CHO,75,2354,11.9,0.581,0.53,0.158,3.2,14.9,8.9,14.5,1.5,1.6,16.3,13.2,2.0,1.7,3.7,0.076,-0.7,0.4,-0.3,1.0,2019,10,16,1220.0,True,2,1,1,1,0,0,2,0,2,0,1,1,4,2,0,2,1,0,3,1,1,0,1,0,0,0,0,0,0,2,0,164326175,,
Jerryd Bayless,PG,30,MIN,34,657,8.5,0.431,0.426,0.122,1.8,8.4,5.0,24.6,1.3,0.3,11.7,17.6,-0.2,0.2,0.0,-0.003,-2.9,-1.7,-4.6,-0.4,2019,10,20,1250.0,True,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arizona,843948212,,
Aron Baynes,C,32,BOS,51,821,14.0,0.5670000000000001,0.274,0.278,11.4,19.8,15.6,9.3,0.7,3.7,13.8,15.2,1.3,1.1,2.4,0.139,-1.8,0.3,-1.5,0.1,2019,6,8,2800.0,True,0,2,2,0,0,0,0,1,0,0,2,3,2,0,0,0,0,0,2,1,0,0,0,0,1,1,0,1,1,0,Washington State,40571386,,
Kent Bazemore,SG,29,ATL,67,1643,11.9,0.507,0.434,0.253,2.3,14.6,8.3,13.5,2.5,2.2,13.6,22.0,-0.7,1.4,0.7,0.021,-2.5,0.2,-2.3,-0.1,2019,6,25,1275.0,True,0,2,6,0,2,0,0,0,0,0,0,2,1,4,1,0,2,1,1,1,2,0,1,0,0,2,3,1,2,1,Old Dominion,29356531,,
Bradley Beal,SG,25,WAS,82,3028,20.8,0.581,0.37,0.278,3.1,11.7,7.4,24.1,1.9,1.6,11.0,28.4,5.9,1.7,7.6,0.12,3.8,-0.8,2.9,3.7,2019,6,24,1550.0,True,0,3,4,0,3,2,3,1,3,3,1,1,0,2,1,0,1,2,1,0,2,1,0,0,2,2,0,0,3,3,Florida,153307097,,
Malik Beasley,SG,22,DEN,81,1879,14.2,0.599,0.55,0.09,2.0,9.5,5.8,7.5,1.4,0.5,6.7,18.7,2.9,1.6,4.5,0.115,0.8,-0.7,0.1,1.0,2019,2,3,1375.0,True,2,0,0,1,3,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,2,0,0,Florida State,74856177,,
Michael Beasley,PF,30,LAL,26,277,15.9,0.532,0.111,0.255,4.9,17.2,11.2,14.8,1.5,3.0,13.7,29.5,-0.1,0.4,0.2,0.039,-1.9,0.5,-1.5,0.0,2019,10,19,3700.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kansas State,0,,
Marco Belinelli,SG,32,SAS,79,1815,11.9,0.557,0.5720000000000001,0.18,1.0,10.8,5.9,10.1,0.9,0.4,8.8,19.8,1.4,1.1,2.5,0.065,-0.5,-1.2,-1.7,0.1,2019,11,12,1600.0,True,0,2,4,0,1,0,2,1,1,0,2,4,0,1,2,1,1,0,1,1,0,0,0,1,1,1,2,4,0,1,0,88890284,,
Jordan Bell,C,24,GSW,68,788,12.9,0.531,0.01,0.214,7.8,16.7,12.5,12.3,1.2,5.4,16.7,13.7,0.5,1.1,1.6,0.096,-2.2,1.3,-0.9,0.2,2019,1,2,3500.0,True,0,3,0,1,0,1,1,0,0,0,2,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,3,0,3,3,Oregon,247145870,,
DeAndre' Bembry,SG,24,ATL,82,1931,10.8,0.508,0.281,0.221,2.9,16.9,9.7,14.7,2.5,1.8,17.4,17.2,-0.9,1.7,0.9,0.022,-3.3,0.8,-2.4,-0.2,2019,2,25,1275.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,Saint Joseph's,320587599,,
Dragan Bender,PF,21,PHO,46,826,9.5,0.521,0.513,0.274,4.5,20.3,12.3,9.4,1.0,2.2,14.4,13.4,0.0,0.4,0.5,0.027000000000000003,-3.4,-0.8,-4.1,-0.5,2019,2,28,1500.0,True,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2410504335,,
Dairis Bertāns,SG,29,NOP,12,167,2.0,0.362,0.723,0.0,1.3,4.3,2.8,7.2,0.3,0.0,4.1,12.0,-0.2,0.0,-0.2,-0.054000000000000006,-5.6,-3.2,-8.8,-0.3,2019,0,23,1220.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Dāvis Bertāns,PF,26,SAS,76,1632,13.0,0.632,0.746,0.132,1.6,16.0,8.8,8.2,1.0,1.7,8.2,14.1,2.6,1.5,4.0,0.118,1.1,0.2,1.3,1.4,2019,2,12,1600.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Patrick Beverley,PG,30,LAC,78,2137,11.8,0.561,0.591,0.258,3.9,15.0,9.6,18.4,1.5,1.6,13.8,12.2,2.8,2.0,4.8,0.108,-0.3,1.2,0.9,1.5,2019,6,11,1750.0,True,1,1,0,0,1,0,3,0,0,0,1,1,0,0,1,4,2,1,1,0,0,1,0,0,0,1,0,0,0,2,Arkansas,92337777,,
